method,dataset,n_runs,high_fitness_proximity_mean,high_fitness_proximity_std,novelty_mean,novelty_std,batch_diversity_mean,batch_diversity_std,normalized_fitness_median_top128_mean,normalized_fitness_median_top128_std,normalized_fitness_median_top256_mean,normalized_fitness_median_top256_std,max_fitness_mean,max_fitness_std,spearman_correlation_mean,spearman_correlation_std,epistatic_correlation_mean,epistatic_correlation_std,recall_high_order_mean,recall_high_order_std,simple_regret_mean,simple_regret_std,miscalibration_area_mean,miscalibration_area_std,expected_calibration_error_mean,expected_calibration_error_std,auoc_mean,auoc_std,hit_rate_mean,hit_rate_std,_seed_mean,_seed_std,max_fitness_raw_mean,max_fitness_raw_std,global_max_raw_mean,global_max_raw_std
ALDE,eqFP611_red,30,0.0,0.0,2.1,0.7895146188218007,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
AiCE,eqFP611_red,30,3.0,0.0,2.0,0.0,6.0,0.0,0.2967044470220834,0.013811014811031815,0.13958551419916512,0.003739837450444383,1.0,0.0,-0.30277812389183173,5.551115123125783e-17,-0.2635762033463003,0.0011064315072407546,0.0,0.0,0.0,0.0,0.43989085302790193,0.00034979542967421794,0.424812401263823,0.0002812144296763955,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
CLADE,eqFP611_red,30,1.0,0.0,2.0,0.0,5.233333333333333,0.42295258468165065,0.8007494815066514,0.008641219631585349,0.7141519856626718,0.016261204664996014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,1.6924406632315798,2.220446049250313e-16,1.6924406632315798,2.220446049250313e-16
FLEXS,eqFP611_red,30,3.8333333333333335,0.9689627902499087,2.3,0.5859465277082315,7.266666666666667,1.0306416555826872,0.059773701401159465,0.001625161093031216,0.0,0.0,0.3470652600553894,0.2632104723509743,0.43665877423548066,0.016100496121074087,0.0,0.0,0.0,0.0,0.6529587669072553,0.2632104723509743,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
GreedyWalk,eqFP611_red,30,3.0,0.0,2.0,0.0,6.266666666666667,0.44221663871405326,0.4219269737166503,0.07017360202896925,0.10215626499820107,0.004809632893858977,0.9003308179712702,0.02930255927242174,0.0,0.0,0.0,0.0,0.0,0.0,0.09966918202872986,0.029302559272421737,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,1.523756486695127,0.04959284284940014,1.6924406632315798,2.220446049250313e-16
Random,eqFP611_red,30,3.0,0.0,2.0,0.0,6.533333333333333,0.4988876515698589,0.2168898947791158,0.07217391324968343,0.09547262491008138,0.0022756324852417527,0.8636356277936013,0.03704817214731905,0.0,0.0,0.0,0.0,0.0,0.0,0.13636437220639888,0.03704817214731905,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,1.4616520546934244,0.0627018330405264,1.6924406632315798,2.220446049250313e-16
ftMLDE,eqFP611_red,30,1.0,0.0,2.066666666666667,0.24944382578492943,5.0,0.0,0.8040993874175889,0.0009299826518372171,0.7300734049750156,0.003930222932840789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,1.6924406632315798,2.220446049250313e-16,1.6924406632315798,2.220446049250313e-16
