method,dataset,n_runs,high_fitness_proximity_mean,high_fitness_proximity_std,novelty_mean,novelty_std,batch_diversity_mean,batch_diversity_std,normalized_fitness_median_top128_mean,normalized_fitness_median_top128_std,normalized_fitness_median_top256_mean,normalized_fitness_median_top256_std,max_fitness_mean,max_fitness_std,spearman_correlation_mean,spearman_correlation_std,epistatic_correlation_mean,epistatic_correlation_std,recall_high_order_mean,recall_high_order_std,simple_regret_mean,simple_regret_std,miscalibration_area_mean,miscalibration_area_std,expected_calibration_error_mean,expected_calibration_error_std,auoc_mean,auoc_std,hit_rate_mean,hit_rate_std,_seed_mean,_seed_std,max_fitness_raw_mean,max_fitness_raw_std,global_max_raw_mean,global_max_raw_std
ALDE,AAV_hard,30,3.466666666666667,0.48189440982669873,4.0,0.0,7.4,0.5537749241945383,0.6769688994720509,0.01779686689431482,0.6311433937906016,0.014851030147314538,0.8715002249088012,0.034494398389717934,0.0,0.0,0.0,0.0,0.0,0.0,0.12849977509119873,0.034494398389717934,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
AiCE,AAV_hard,30,3.0,0.0,2.8,0.39999999999999997,4.0,0.0,0.5712481224464957,0.005205043373580648,0.4659316537919824,0.013779095013425589,1.0,0.0,0.03460490205599788,0.0,0.1029473750651441,0.0003042866314817304,0.0,0.0,0.0,0.0,0.4409850368721861,5.490197977615499e-05,0.23238710332333837,7.275252314591263e-05,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
CLADE,AAV_hard,30,3.566666666666667,0.4955356249106169,3.8333333333333335,0.3726779962499649,7.7,0.8225975119502046,0.6903294105674057,0.022180953972876224,0.6400437944256615,0.020553011475654137,0.8891094536182498,0.03569616108536425,0.0,0.0,0.0,0.0,0.0,0.0,0.11089054638175032,0.03569616108536425,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,0.8891094536182498,0.03569616108536425,1.0,0.0
FLEXS,AAV_hard,30,3.2333333333333334,1.1160446028522137,2.8,0.6000000000000001,5.2,0.9451631252505216,0.48010601936542885,0.0650912841422749,0.22893799120614744,0.19603222161930536,0.7722088523264893,0.09294748972739963,0.518250858659716,0.06224520580543354,0.0,0.0,0.0,0.0,0.2277911476735107,0.09294748972739963,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
GreedyWalk,AAV_hard,30,3.3,0.45825756949558405,3.7,0.45825756949558405,7.0,0.4472135954999579,0.634919408262138,0.015322496914592173,0.5809512320152714,0.012505097365841175,0.8461574331629048,0.04230485369221497,0.0,0.0,0.0,0.0,0.0,0.0,0.15384256683709518,0.04230485369221497,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,0.8461574331629048,0.04230485369221497,1.0,0.0
Random,AAV_hard,30,3.5,0.5,3.8666666666666667,0.33993463423951903,7.033333333333333,0.1795054935711501,0.6200298923096444,0.008096645651016398,0.5716609093001658,0.006318259061041581,0.8225989911710816,0.032710575509839544,0.0,0.0,0.0,0.0,0.0,0.0,0.17740100882891843,0.032710575509839544,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,0.8225989911710816,0.032710575509839544,1.0,0.0
ftMLDE,AAV_hard,30,3.1,0.30000000000000004,3.6666666666666665,0.4714045207910318,6.566666666666666,0.5587684871413403,0.7049919051361723,0.019667781814924103,0.6557913328587509,0.017548416356319853,0.8958819558596299,0.037781674437362314,0.0,0.0,0.0,0.0,0.0,0.0,0.10411804414037013,0.03778167443736232,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,0.8958819558596299,0.037781674437362314,1.0,0.0
