method,dataset,n_runs,high_fitness_proximity_mean,high_fitness_proximity_std,novelty_mean,novelty_std,batch_diversity_mean,batch_diversity_std,normalized_fitness_median_top128_mean,normalized_fitness_median_top128_std,normalized_fitness_median_top256_mean,normalized_fitness_median_top256_std,max_fitness_mean,max_fitness_std,spearman_correlation_mean,spearman_correlation_std,epistatic_correlation_mean,epistatic_correlation_std,recall_high_order_mean,recall_high_order_std,simple_regret_mean,simple_regret_std,miscalibration_area_mean,miscalibration_area_std,expected_calibration_error_mean,expected_calibration_error_std,auoc_mean,auoc_std,hit_rate_mean,hit_rate_std,_seed_mean,_seed_std,max_fitness_raw_mean,max_fitness_raw_std,global_max_raw_mean,global_max_raw_std
ALDE,mTagBFP2_blue,30,0.0,0.0,2.2,0.7023769168568493,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
AiCE,mTagBFP2_blue,30,3.0,0.0,2.0,0.0,6.0,0.0,0.4567771891035018,0.0029509722964369267,0.4087658059990487,0.0028776015046347424,1.0,0.0,-0.05689958575073431,2.0816681711721685e-17,-0.06024224988467721,0.00124318458496649,0.0,0.0,0.0,0.0,0.3453998816840838,0.0003477127060908639,0.379760564770932,0.0003874275353717238,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
CLADE,mTagBFP2_blue,30,1.0,0.0,2.0,0.0,5.333333333333333,0.4714045207910317,0.9435285953451529,0.002921067232527769,0.9202945030929028,0.005523697938453319,0.990769891304308,0.004615054347845948,0.0,0.0,0.0,0.0,0.0,0.0,0.009230108695691897,0.004615054347845948,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,1.592826206021632,0.007419461947703975,1.6076651299170395,4.440892098500626e-16
FLEXS,mTagBFP2_blue,30,3.6666666666666665,0.8692269873603532,1.6666666666666667,0.6992058987801011,7.466666666666667,1.1175369742826808,0.12357143986506205,0.000915462243950924,0.0,0.0,0.4837584097847536,0.3296949876473667,0.4518227852467982,0.005147337113538115,0.0,0.0,0.0,0.0,0.5162199007937375,0.3296949876473667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
GreedyWalk,mTagBFP2_blue,30,3.0,0.0,2.0,0.0,6.233333333333333,0.42295258468165065,0.7403944679597991,0.11806439746069386,0.24509007236648442,0.054540127630658394,0.985231116434493,0.006399153283705212,0.0,0.0,0.0,0.0,0.0,0.0,0.014768883565506867,0.006399153283705212,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,1.5839217108009698,0.010287695595207,1.6076651299170395,4.440892098500626e-16
Random,mTagBFP2_blue,30,3.0,0.0,2.0,0.0,6.666666666666667,0.4714045207910317,0.48112777438441495,0.07422026226621778,0.17312878126911538,0.01653029351860277,0.975364092512903,0.011685443812242052,0.0,0.0,0.0,0.0,0.0,0.0,0.024635907487096962,0.011685443812242053,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,1.568058840506172,0.01878628054454639,1.6076651299170395,4.440892098500626e-16
ftMLDE,mTagBFP2_blue,30,1.0,0.0,2.0,0.0,5.0,0.0,0.94701927406853,0.004202243176578719,0.9282858918049689,0.007354971115258531,0.9911544791666285,0.004879872912169334,0.0,0.0,0.0,0.0,0.0,0.0,0.0088455208333714,0.0048798729121693335,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,1.5934444945172743,0.007845201519321377,1.6076651299170395,4.440892098500626e-16
