dataset,metric,method_a,method_b,median_a,median_b,median_diff,p_two_sided,sig_bonferroni
ms_AAV,max_fitness_norm,AiCE,GreedyWalk,0.6549737453460693,0.6534225940704346,0.0015511512756347656,0.10943205840885639,False
ms_AAV,max_fitness_norm,AiCE,ftMLDE,0.6549737453460693,0.6229670941829681,0.032006651163101196,5.5925920605659485e-05,True
ms_AAV,max_fitness_norm,AiCE,AdaLead,0.6549737453460693,0.6143231987953186,0.04065054655075073,1.4193356037139893e-06,True
ms_AAV,max_fitness_norm,AiCE,MULTIevolve,0.6549737453460693,0.6014533638954163,0.053520381450653076,1.30385160446167e-08,True
ms_AAV,max_fitness_norm,AiCE,CLADE,0.6549737453460693,0.5974045991897583,0.057569146156311035,3.5390257835388184e-08,True
ms_AAV,max_fitness_norm,AiCE,ALDE,0.6549737453460693,0.5893817842006683,0.065591961145401,5.587935447692871e-09,True
ms_AAV,max_fitness_norm,AiCE,EVOLVEpro,0.6549737453460693,0.5869610011577606,0.06801274418830872,1.862645149230957e-09,True
ms_AAV,max_fitness_norm,AiCE,Random,0.6549737453460693,0.5718667507171631,0.08310699462890625,5.587935447692871e-09,True
ms_AAV,max_fitness_norm,GreedyWalk,ftMLDE,0.6534225940704346,0.6229670941829681,0.03045549988746643,0.019660815596580505,False
ms_AAV,max_fitness_norm,GreedyWalk,AdaLead,0.6534225940704346,0.6143231987953186,0.03909939527511597,0.005382779985666275,False
ms_AAV,max_fitness_norm,GreedyWalk,MULTIevolve,0.6534225940704346,0.6014533638954163,0.05196923017501831,1.8244609236717224e-05,True
ms_AAV,max_fitness_norm,GreedyWalk,CLADE,0.6534225940704346,0.5974045991897583,0.05601799488067627,5.144625902175903e-06,True
ms_AAV,max_fitness_norm,GreedyWalk,ALDE,0.6534225940704346,0.5893817842006683,0.06404080986976624,1.30385160446167e-07,True
ms_AAV,max_fitness_norm,GreedyWalk,EVOLVEpro,0.6534225940704346,0.5869610011577606,0.06646159291267395,2.0489096641540527e-07,True
ms_AAV,max_fitness_norm,GreedyWalk,Random,0.6534225940704346,0.5718667507171631,0.08155584335327148,1.6391277313232422e-07,True
ms_AAV,max_fitness_norm,ftMLDE,AdaLead,0.6229670941829681,0.6143231987953186,0.008643895387649536,0.42795460671186447,False
ms_AAV,max_fitness_norm,ftMLDE,MULTIevolve,0.6229670941829681,0.6014533638954163,0.02151373028755188,0.0015832837671041489,False
ms_AAV,max_fitness_norm,ftMLDE,CLADE,0.6229670941829681,0.5974045991897583,0.02556249499320984,7.056817412376404e-05,True
ms_AAV,max_fitness_norm,ftMLDE,ALDE,0.6229670941829681,0.5893817842006683,0.033585309982299805,4.421919584274292e-06,True
ms_AAV,max_fitness_norm,ftMLDE,EVOLVEpro,0.6229670941829681,0.5869610011577606,0.03600609302520752,2.551823854446411e-07,True
ms_AAV,max_fitness_norm,ftMLDE,Random,0.6229670941829681,0.5718667507171631,0.051100343465805054,3.2391399145126343e-06,True
ms_AAV,max_fitness_norm,AdaLead,MULTIevolve,0.6143231987953186,0.6014533638954163,0.012869834899902344,0.007111456245183945,False
