dataset,method,max_fitness_median,max_fitness_q1,max_fitness_q3,top128_median,top128_q1,top128_q3,n
ms_AAV,Random,0.5718667507171631,0.551639974117279,0.5848193466663361,0.4011584232794121,0.39607802248792723,0.4067662450252101,30
ms_AAV,GreedyWalk,0.6534225940704346,0.599006861448288,0.67501400411129,0.5678313646931201,0.539542768499814,0.6006980661768466,30
ms_AAV,ALDE,0.5893817842006683,0.5564367324113846,0.6071490049362183,0.4840748879360035,0.4710392833221704,0.49779663735534996,30
ms_AAV,CLADE,0.5974045991897583,0.5811205208301544,0.6156973838806152,0.49763605440966785,0.48340943071525544,0.5053434073342942,30
ms_AAV,ftMLDE,0.6229670941829681,0.6009779423475266,0.6437934786081314,0.5565305228810757,0.5328011697856709,0.5660077596548945,30
ms_AAV,AdaLead,0.6143231987953186,0.5974568575620651,0.6405141204595566,0.5511384254787117,0.5361099910223857,0.5714312816271558,30
ms_AAV,MULTIevolve,0.6014533638954163,0.5923273116350174,0.6117213368415833,0.5294380821287632,0.5169001866597682,0.5412294158013538,30
ms_AAV,EVOLVEpro,0.5869610011577606,0.5615450739860535,0.6111937165260315,0.4959830114385113,0.47556528472341597,0.5092411841615103,30
ms_AAV,AiCE,0.6549737453460693,0.6412764191627502,0.6647828221321106,0.5974684497341514,0.5928952612448484,0.611648450489156,30
ms_AAV,AlphaVariant,0.7130621969692728,0.7014866024248737,0.7250509858124158,0.6489174510345823,0.638143706251229,0.6637867491220004,30
ms_CreiLOV,Random,0.870035707950592,0.8598313182592392,0.8774519860744476,0.7731986581347883,0.7709204258862883,0.7754261349327862,30
ms_CreiLOV,GreedyWalk,0.9286376535892487,0.9133137315511703,0.9424507021903992,0.8968203966505826,0.8796784797450528,0.9069884576601908,30
ms_CreiLOV,ALDE,0.9109160304069519,0.9064763486385345,0.92118239402771,0.8752260650508106,0.8654566763434559,0.8807566032046452,30
ms_CreiLOV,CLADE,0.935441255569458,0.9207810461521149,0.9417434334754944,0.8889774980489165,0.8782587749883533,0.89788696274627,30
ms_CreiLOV,ftMLDE,0.9440926015377045,0.9271979331970215,0.9539046585559845,0.9236484982538968,0.9051461681956425,0.9274818244157359,30
ms_CreiLOV,AdaLead,0.9651538133621216,0.9495237171649933,0.9707272052764893,0.9352380663622171,0.9231972631532699,0.9406939432956278,30
ms_CreiLOV,MULTIevolve,0.9215092658996582,0.9082977175712585,0.9329626262187958,0.8910367898643017,0.8780570331728086,0.9014008843805641,30
ms_CreiLOV,EVOLVEpro,0.9134450554847717,0.9035334289073944,0.9184692651033401,0.8743076042737812,0.8602819485822693,0.8822331727715209,30
ms_CreiLOV,AiCE,0.9143250584602356,0.9047708511352539,0.9209363162517548,0.869392448104918,0.8618939376901835,0.8753391943173483,30
ms_CreiLOV,AlphaVariant,0.986012244552696,0.9725282080341155,0.9871203550400781,0.8992610085137309,0.895116399436116,0.9060910973469312,30
ms_PAB1,Random,0.4181513637304306,0.4089713916182518,0.43100961297750473,0.2829681491712108,0.27816920244367793,0.2866532968764659,30
ms_PAB1,GreedyWalk,0.527648389339447,0.5122449994087219,0.5385597497224808,0.46955949382390827,0.45504573395010084,0.4775068112066947,30
ms_PAB1,ALDE,0.4675079882144928,0.45732179284095764,0.4804152548313141,0.37985771091189235,0.3703408600995317,0.3903211816214025,30
ms_PAB1,CLADE,0.4868510514497757,0.4733082428574562,0.5015978813171387,0.4048842885531485,0.39889833476627246,0.41277002287097275,30
ms_PAB1,ftMLDE,0.549350917339325,0.5369142889976501,0.5616591572761536,0.49279739730991423,0.4790669159265235,0.5114925815723836,30
ms_PAB1,AdaLead,0.5646482706069946,0.5500992685556412,0.5844951421022415,0.5029088689479977,0.4865493990946561,0.5183877489180304,30
ms_PAB1,MULTIevolve,0.5251003503799438,0.5158028304576874,0.5401076823472977,0.46228665253147483,0.45100186683703214,0.47687191900331527,30
ms_PAB1,EVOLVEpro,0.5013816654682159,0.4941269978880882,0.5263116806745529,0.443030959693715,0.4288554420345463,0.4527670746902004,30
ms_PAB1,AiCE,0.4925191402435303,0.48562298715114594,0.5098089128732681,0.4336975807091221,0.4241952797747217,0.447926061344333,30
ms_PAB1,AlphaVariant,0.5756574271739112,0.5661407179508684,0.5970594554130354,0.504269501084689,0.4935442662309335,0.5115555525438373,30
