dataset,metric,best,other,median_best,median_other,median_diff,p_greater,sig_bonferroni
ms_AAV,max_fitness_norm,AlphaVariant,AiCE,0.7130621969692728,0.6549737453460693,0.05808845162320342,5.122274160385132e-08,True
ms_AAV,max_fitness_norm,AlphaVariant,GreedyWalk,0.7130621969692728,0.6534225940704346,0.059639602898838184,2.3562461137771606e-07,True
ms_AAV,max_fitness_norm,AlphaVariant,ftMLDE,0.7130621969692728,0.6229670941829681,0.09009510278630461,9.313225746154785e-10,True
ms_AAV,max_fitness_norm,AlphaVariant,AdaLead,0.7130621969692728,0.6143231987953186,0.09873899817395415,9.313225746154785e-10,True
ms_AAV,max_fitness_norm,AlphaVariant,MULTIevolve,0.7130621969692728,0.6014533638954163,0.1116088330738565,9.313225746154785e-10,True
ms_AAV,max_fitness_norm,AlphaVariant,CLADE,0.7130621969692728,0.5974045991897583,0.11565759777951445,9.313225746154785e-10,True
ms_AAV,max_fitness_norm,AlphaVariant,ALDE,0.7130621969692728,0.5893817842006683,0.12368041276860442,9.313225746154785e-10,True
ms_AAV,max_fitness_norm,AlphaVariant,EVOLVEpro,0.7130621969692728,0.5869610011577606,0.12610119581151213,9.313225746154785e-10,True
ms_AAV,max_fitness_norm,AlphaVariant,Random,0.7130621969692728,0.5718667507171631,0.14119544625210967,9.313225746154785e-10,True
ms_CreiLOV,max_fitness_norm,AlphaVariant,AdaLead,0.986012244552696,0.9651538133621216,0.0208584311905744,1.1743977665901184e-06,True
ms_CreiLOV,max_fitness_norm,AlphaVariant,ftMLDE,0.986012244552696,0.9440926015377045,0.041919643014991514,9.313225746154785e-10,True
ms_CreiLOV,max_fitness_norm,AlphaVariant,CLADE,0.986012244552696,0.935441255569458,0.050570988983237974,9.313225746154785e-10,True
ms_CreiLOV,max_fitness_norm,AlphaVariant,GreedyWalk,0.986012244552696,0.9286376535892487,0.057374590963447325,9.313225746154785e-10,True
ms_CreiLOV,max_fitness_norm,AlphaVariant,MULTIevolve,0.986012244552696,0.9215092658996582,0.06450297865303778,9.313225746154785e-10,True
ms_CreiLOV,max_fitness_norm,AlphaVariant,AiCE,0.986012244552696,0.9143250584602356,0.07168718609246039,8.666533220995528e-07,True
ms_CreiLOV,max_fitness_norm,AlphaVariant,EVOLVEpro,0.986012244552696,0.9134450554847717,0.07256718906792425,9.313225746154785e-10,True
ms_CreiLOV,max_fitness_norm,AlphaVariant,ALDE,0.986012244552696,0.9109160304069519,0.07509621414574408,9.313225746154785e-10,True
ms_CreiLOV,max_fitness_norm,AlphaVariant,Random,0.986012244552696,0.870035707950592,0.11597653660210394,9.313225746154785e-10,True
ms_GFP,max_fitness_norm,AiCE,AlphaVariant,0.9500324130058289,0.9340107751888859,0.01602163781694299,0.059538284316658974,False
ms_GFP,max_fitness_norm,AiCE,GreedyWalk,0.9500324130058289,0.8540210127830505,0.09601140022277832,9.313225746154785e-10,True
ms_GFP,max_fitness_norm,AiCE,Random,0.9500324130058289,0.838618129491806,0.11141428351402283,9.313225746154785e-10,True
ms_GFP,max_fitness_norm,AiCE,EVOLVEpro,0.9500324130058289,0.8187471628189087,0.13128525018692017,9.313225746154785e-10,True
ms_GFP,max_fitness_norm,AiCE,ALDE,0.9500324130058289,0.8124847412109375,0.13754767179489136,9.313225746154785e-10,True
ms_GFP,max_fitness_norm,AiCE,CLADE,0.9500324130058289,0.8124847412109375,0.13754767179489136,9.313225746154785e-10,True
ms_GFP,max_fitness_norm,AiCE,ftMLDE,0.9500324130058289,0.8124847412109375,0.13754767179489136,9.313225746154785e-10,True
ms_GFP,max_fitness_norm,AiCE,AdaLead,0.9500324130058289,0.8124847412109375,0.13754767179489136,9.313225746154785e-10,True
ms_GFP,max_fitness_norm,AiCE,MULTIevolve,0.9500324130058289,0.8124847412109375,0.13754767179489136,9.313225746154785e-10,True
ms_PAB1,max_fitness_norm,AlphaVariant,AdaLead,0.5756574271739112,0.5646482706069946,0.01100915656691659,0.06467653810977936,False
ms_PAB1,max_fitness_norm,AlphaVariant,ftMLDE,0.5756574271739112,0.549350917339325,0.026306509834586267,2.9867514967918396e-06,True
ms_PAB1,max_fitness_norm,AlphaVariant,GreedyWalk,0.5756574271739112,0.527648389339447,0.0480090378344642,4.6566128730773926e-09,True
ms_PAB1,max_fitness_norm,AlphaVariant,MULTIevolve,0.5756574271739112,0.5251003503799438,0.05055707679396737,2.859160304069519e-07,True
ms_PAB1,max_fitness_norm,AlphaVariant,EVOLVEpro,0.5756574271739112,0.5013816654682159,0.07427576170569528,2.7939677238464355e-09,True
ms_PAB1,max_fitness_norm,AlphaVariant,AiCE,0.5756574271739112,0.4925191402435303,0.08313828693038094,9.313225746154785e-10,True
ms_PAB1,max_fitness_norm,AlphaVariant,CLADE,0.5756574271739112,0.4868510514497757,0.08880637572413552,1.862645149230957e-09,True
ms_PAB1,max_fitness_norm,AlphaVariant,ALDE,0.5756574271739112,0.4675079882144928,0.10814943895941842,9.313225746154785e-10,True
ms_PAB1,max_fitness_norm,AlphaVariant,Random,0.5756574271739112,0.4181513637304306,0.15750606344348062,9.313225746154785e-10,True
ms_AAV,top128_mean_norm,AlphaVariant,AiCE,0.6489174510345823,0.5974684497341514,0.05144900130043095,9.313225746154785e-09,True
ms_AAV,top128_mean_norm,AlphaVariant,GreedyWalk,0.6489174510345823,0.5678313646931201,0.0810860863414622,4.6566128730773926e-09,True
ms_AAV,top128_mean_norm,AlphaVariant,ftMLDE,0.6489174510345823,0.5565305228810757,0.09238692815350658,9.313225746154785e-10,True
ms_AAV,top128_mean_norm,AlphaVariant,AdaLead,0.6489174510345823,0.5511384254787117,0.09777902555587059,9.313225746154785e-10,True
ms_AAV,top128_mean_norm,AlphaVariant,MULTIevolve,0.6489174510345823,0.5294380821287632,0.11947936890581912,9.313225746154785e-10,True
ms_AAV,top128_mean_norm,AlphaVariant,CLADE,0.6489174510345823,0.49763605440966785,0.15128139662491447,9.313225746154785e-10,True
ms_AAV,top128_mean_norm,AlphaVariant,EVOLVEpro,0.6489174510345823,0.4959830114385113,0.152934439596071,9.313225746154785e-10,True
ms_AAV,top128_mean_norm,AlphaVariant,ALDE,0.6489174510345823,0.4840748879360035,0.1648425630985788,9.313225746154785e-10,True
ms_AAV,top128_mean_norm,AlphaVariant,Random,0.6489174510345823,0.4011584232794121,0.24775902775517022,9.313225746154785e-10,True
ms_CreiLOV,top128_mean_norm,AdaLead,ftMLDE,0.9352380663622171,0.9236484982538968,0.011589568108320236,7.988885045051575e-06,True
ms_CreiLOV,top128_mean_norm,AdaLead,AlphaVariant,0.9352380663622171,0.8992610085137309,0.03597705784848615,4.6566128730773926e-09,True
