method,seed,status,wall_seconds,exit_code,gpu_id
EvoPlay,621,FAIL_2,0.1,2,0
EvoPlay,383,FAIL_2,0.1,2,0
EvoPlay,167,FAIL_2,0.1,2,1
EvoPlay,492,FAIL_2,0.1,2,1
EvoPlay,446,FAIL_2,0.1,2,1
EvoPlay,100,FAIL_2,0.1,2,1
EvoPlay,987,FAIL_2,0.1,2,0
EvoPlay,926,FAIL_2,0.1,2,0
EvoPlay,477,FAIL_2,0.1,2,1
EvoPlay,531,FAIL_2,0.1,2,1
EvoPlay,390,FAIL_2,0.1,2,0
EvoPlay,919,FAIL_2,0.1,2,0
EvoPlay,194,FAIL_2,0.1,2,0
EvoPlay,137,FAIL_2,0.1,2,0
EvoPlay,77,FAIL_2,0.1,2,1
EvoPlay,3,FAIL_2,0.1,2,1
EvoPlay,303,FAIL_2,0.1,2,0
EvoPlay,331,FAIL_2,0.1,2,1
EvoPlay,76,FAIL_2,0.1,2,0
EvoPlay,433,FAIL_2,0.1,2,1
EvoPlay,772,FAIL_2,0.1,2,1
EvoPlay,527,FAIL_2,0.1,2,0
EvoPlay,652,FAIL_2,0.1,2,0
EvoPlay,340,FAIL_2,0.1,2,0
EvoPlay,998,FAIL_2,0.1,2,1
EvoPlay,563,FAIL_2,0.1,2,1
EvoPlay,171,FAIL_2,0.1,2,0
EvoPlay,590,FAIL_2,0.1,2,1
EvoPlay,548,FAIL_2,0.1,2,0
EvoPlay,511,FAIL_2,0.1,2,1
