method,dataset,n_runs,high_fitness_proximity_mean,high_fitness_proximity_std,novelty_mean,novelty_std,batch_diversity_mean,batch_diversity_std,normalized_fitness_median_top128_mean,normalized_fitness_median_top128_std,normalized_fitness_median_top256_mean,normalized_fitness_median_top256_std,max_fitness_mean,max_fitness_std,spearman_correlation_mean,spearman_correlation_std,epistatic_correlation_mean,epistatic_correlation_std,recall_high_order_mean,recall_high_order_std,simple_regret_mean,simple_regret_std,miscalibration_area_mean,miscalibration_area_std,expected_calibration_error_mean,expected_calibration_error_std,auoc_mean,auoc_std,hit_rate_mean,hit_rate_std,_seed_mean,_seed_std,max_fitness_raw_mean,max_fitness_raw_std,simple_regret_raw_mean,simple_regret_raw_std,global_max_raw_mean,global_max_raw_std
ALDE,CR9114,30,0.0,0.0,3.1,1.044030650891055,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,
AiCE,CR9114,30,4.0,0.0,3.033333333333333,0.1795054935711501,6.0,0.0,0.8706929164325037,0.0016452909174266659,0.8521438134588525,0.0011303898386082398,1.0,0.0,-0.5645605432827189,0.0,-0.5618461823032261,0.00013848023231871444,0.0,0.0,0.0,0.0,0.1402900210831915,4.902738231383348e-05,0.10514904045624916,5.373466289345191e-05,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,
FLEXS,CR9114,30,4.85,0.34520525295346627,1.0,0.0,9.133333333333333,0.339934634239519,0.8340878126372071,0.003021831163573657,0.21101592795796667,0.3103752931644056,0.9700607912326701,0.004311072618014137,0.48716284614697203,0.009081649712372906,0.0,0.0,0.0,0.0,0.02993920876732983,0.004311072618014137,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,9.540070611864023,0.04239727815044103,0.2944371042507152,0.042397278150441024,9.834508000000001,1.7763568394002505e-15
GreedyWalk,CR9114,30,3.0,0.0,3.0,0.0,8.0,0.0,0.8946953503328305,0.003289516238678575,0.8768000070795327,0.0029205493292810674,0.9823483092623388,0.0023434189503027405,0.0,0.0,0.0,0.0,0.0,0.0,0.017651690737661097,0.0023434189503027405,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,9.66091202735274,0.023046371748841867,,,9.834507716114738,1.7763568394002505e-15
Random,CR9114,30,3.2,0.37859388972001823,3.0,0.0,8.0,0.0,0.8882754026896814,0.0018979462815884645,0.8706640053461571,0.0025688710440420256,0.9827488332911198,0.004209863645485442,0.0,0.0,0.0,0.0,0.0,0.0,0.017251166708880227,0.004209863645485442,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,9.664850984004277,0.0414019365053175,,,9.834507716114738,1.7763568394002505e-15
alphavariant,CR9114,31,4.612903225806452,3.543985539863812,0.7419354838709677,4.063748007296393,8.580645161290322,3.1803245274493515,0.8137101585367144,0.10682846009658664,0.8063318333733486,0.14723412081620293,0.9358294865690668,0.11813596218706572,0.8493260397847489,0.09248818202587322,0.0,0.0,0.0,0.0,0.06417051343093322,0.11813596218706574,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,442.16129032258067,279.0067748945261,9.121127030364923,1.6125602141490056,0.4283965658751487,0.051645544157021245,9.549523870967743,1.5609223600193056
