method,dataset,n_runs,high_fitness_proximity_mean,high_fitness_proximity_std,novelty_mean,novelty_std,batch_diversity_mean,batch_diversity_std,normalized_fitness_median_top128_mean,normalized_fitness_median_top128_std,normalized_fitness_median_top256_mean,normalized_fitness_median_top256_std,max_fitness_mean,max_fitness_std,spearman_correlation_mean,spearman_correlation_std,epistatic_correlation_mean,epistatic_correlation_std,recall_high_order_mean,recall_high_order_std,simple_regret_mean,simple_regret_std,miscalibration_area_mean,miscalibration_area_std,expected_calibration_error_mean,expected_calibration_error_std,auoc_mean,auoc_std,hit_rate_mean,hit_rate_std,_seed_mean,_seed_std,max_fitness_raw_mean,max_fitness_raw_std,global_max_raw_mean,global_max_raw_std
ALDE,mTagBFP2_red,30,0.0,0.0,2.1,0.7895146188218007,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
AiCE,mTagBFP2_red,30,3.0,0.0,2.0,0.0,6.0,0.0,0.2967044470220834,0.013811014811031815,0.13958551419916512,0.003739837450444383,1.0,0.0,-0.30277812389183173,5.551115123125783e-17,-0.26360278376513435,0.0011186043343943627,0.0,0.0,0.0,0.0,0.4398971047341894,0.00035205028754599387,0.42481338862559237,0.00028261667640990776,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
CLADE,mTagBFP2_red,30,1.0833333333333333,0.26087459737497554,2.0,0.0,5.333333333333333,0.4714045207910317,0.799920634382845,0.008922752910774238,0.7129723497123768,0.015739616487396517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,1.6924406632315798,2.220446049250313e-16,1.6924406632315798,2.220446049250313e-16
FLEXS,mTagBFP2_red,30,3.6666666666666665,0.8692269873603531,2.033333333333333,0.6574360974438673,7.533333333333333,1.1175369742826806,0.05981700871042271,0.0015986847267138759,0.0,0.0,0.3744679806398277,0.29241289599926634,0.42600610515835413,0.03570859922092672,0.0,0.0,0.0,0.0,0.6255560463228169,0.29241289599926634,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
GreedyWalk,mTagBFP2_red,30,3.0,0.0,2.0,0.0,6.3,0.45825756949558405,0.4219269737166503,0.07017360202896925,0.10215626499820107,0.004809632893858977,0.9003308179712702,0.02930255927242174,0.0,0.0,0.0,0.0,0.0,0.0,0.09966918202872986,0.029302559272421737,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,1.523756486695127,0.04959284284940014,1.6924406632315798,2.220446049250313e-16
Random,mTagBFP2_red,30,3.0,0.0,2.0,0.0,6.5,0.5,0.2168898947791158,0.07217391324968343,0.09547262491008138,0.0022756324852417527,0.8636356277936013,0.03704817214731905,0.0,0.0,0.0,0.0,0.0,0.0,0.13636437220639888,0.03704817214731905,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,1.4616520546934244,0.0627018330405264,1.6924406632315798,2.220446049250313e-16
ftMLDE,mTagBFP2_red,30,1.0,0.0,2.066666666666667,0.24944382578492943,5.0,0.0,0.8039413084765339,0.0008324699757269796,0.7299203009906406,0.003784510459920584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,1.6924406632315798,2.220446049250313e-16,1.6924406632315798,2.220446049250313e-16
