method,dataset,n_runs,high_fitness_proximity_mean,high_fitness_proximity_std,novelty_mean,novelty_std,batch_diversity_mean,batch_diversity_std,normalized_fitness_median_top128_mean,normalized_fitness_median_top128_std,normalized_fitness_median_top256_mean,normalized_fitness_median_top256_std,max_fitness_mean,max_fitness_std,spearman_correlation_mean,spearman_correlation_std,epistatic_correlation_mean,epistatic_correlation_std,recall_high_order_mean,recall_high_order_std,simple_regret_mean,simple_regret_std,miscalibration_area_mean,miscalibration_area_std,expected_calibration_error_mean,expected_calibration_error_std,auoc_mean,auoc_std,hit_rate_mean,hit_rate_std,_seed_mean,_seed_std,max_fitness_raw_mean,max_fitness_raw_std,global_max_raw_mean,global_max_raw_std,round_mean,round_std,simple_regret_raw_mean,simple_regret_raw_std
ALDE,4site_TEV,30,2.0,0.0,2.0,0.0,3.8666666666666667,0.33993463423951903,0.5279613280739318,0.05372157899472425,0.4919795633174317,0.04603014168440373,0.5467999649399322,0.19751410729958307,0.0,0.0,0.0,0.0,0.0,0.0,0.45320003506006773,0.19751410729958307,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,
AiCE,4site_TEV,30,2.0,0.0,2.0,0.0,3.0,0.0,0.5887009875797128,0.011970498087027891,0.5096392822800576,0.013694878076537027,0.6661799914745428,0.009279952375800303,0.0024092982723072044,0.023678799606759567,-0.001365032435525438,0.02389840991198097,0.0003333333333333333,0.0017950549357115017,0.33382000852545735,0.009279952375800305,0.5900275797451415,0.03743779139974192,0.4388144912554941,0.007721825636308496,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,
CLADE,4site_TEV,30,2.2,0.39999999999999997,2.0,0.0,3.6333333333333333,0.4818944098266986,0.5663698151399977,0.05460329815660356,0.5247506945967023,0.05165541849441418,0.41974166791745565,0.10417735738418167,0.0,0.0,0.0,0.0,0.0,0.0,0.5802583320825445,0.10417735738418166,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,0.41974166791745565,0.10417735738418167,1.0,0.0,,,,
FLEXS,4site_TEV,30,2.1166666666666667,0.3077697552103231,2.0,0.0,3.4,0.48989794855663565,0.5245758740456724,0.06359576676018831,0.5013749159894272,0.05672524656863405,0.46105477971824904,0.14732094924395825,0.7991118679751457,0.11599318040005076,0.0,0.0,0.0,0.0,0.5389452202817508,0.14732094924395825,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,
GreedyWalk,4site_TEV,30,2.0,0.0,2.0,0.0,4.0,0.0,0.4947888767939166,0.028194871186936664,0.4660279584388925,0.008182324321885415,0.4540630291822611,0.13477184452238836,0.0,0.0,0.0,0.0,0.0,0.0,0.5459369708177388,0.13477184452238838,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,0.4540630291822611,0.13477184452238836,1.0,0.0,,,,
Random,4site_TEV,30,2.0,0.0,2.0,0.0,4.0,0.0,0.47180779830096026,0.0015084581786092971,0.45958313097221276,0.0008293359792911851,0.42576672632479445,0.12228338033640904,0.0,0.0,0.0,0.0,0.0,0.0,0.5742332736752057,0.12228338033640902,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,0.42576672632479445,0.12228338033640904,1.0,0.0,,,,
alphavariant,4site_TEV,30,2.2333333333333334,0.42295258468165065,2.0,0.0,3.966666666666667,0.17950549357115012,0.5554773856412644,0.05347468770960086,0.5081434327438804,0.041773396454222025,0.40737619087221144,0.10154818332508142,0.4134831047098793,0.2578074870793195,0.0,0.0,0.0,0.0,0.5926238091277886,0.10154818332508142,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,
delta_cs,4site_TEV,30,2.2,0.4,2.3544270833333334,0.3081037336657651,1.6151023391812867,0.79531277286404,0.5200831755942119,0.04094886510079752,0.49676092848704484,0.04141260357001471,0.36440997968117395,0.21530255256371503,0.3518857614541242,0.3625113550078822,-0.07048017764216429,0.2251887339392211,0.001423785594639866,0.0014590662805849535,0.635590020318826,0.21530255256371503,0.0,0.0,0.07348178275571535,0.05687057651752414,,,,,455.5,273.7225785352754,0.36440997968117395,0.21530255256371503,1.0,0.0,5.0,0.0,0.635590020318826,0.21530255256371503
ftMLDE,4site_TEV,30,2.2666666666666666,0.44221663871405326,2.033333333333333,0.1795054935711501,3.7,0.45825756949558405,0.5577069526748779,0.0625315136742804,0.523276364335021,0.05816287260176216,0.4401007445303969,0.1477804935118131,0.0,0.0,0.0,0.0,0.0,0.0,0.5598992554696032,0.1477804935118131,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,0.4401007445303969,0.1477804935118131,1.0,0.0,,,,
