method,dataset,n_runs,high_fitness_proximity_mean,high_fitness_proximity_std,novelty_mean,novelty_std,batch_diversity_mean,batch_diversity_std,normalized_fitness_median_top128_mean,normalized_fitness_median_top128_std,normalized_fitness_median_top256_mean,normalized_fitness_median_top256_std,max_fitness_mean,max_fitness_std,spearman_correlation_mean,spearman_correlation_std,epistatic_correlation_mean,epistatic_correlation_std,recall_high_order_mean,recall_high_order_std,simple_regret_mean,simple_regret_std,miscalibration_area_mean,miscalibration_area_std,expected_calibration_error_mean,expected_calibration_error_std,auoc_mean,auoc_std,hit_rate_mean,hit_rate_std,_seed_mean,_seed_std,max_fitness_raw_mean,max_fitness_raw_std,global_max_raw_mean,global_max_raw_std
AiCE,4site_GB1,30,1.0,0.0,2.0,0.0,3.0,0.0,0.4967810035435045,0.00023157775250749358,0.3554225549729856,0.0008799165334522741,1.0,0.0,0.3596242858506252,0.0,0.3506096194778973,7.265649493834804e-05,0.0,0.0,0.0,0.0,0.4302319052542817,1.581532232094569e-05,0.4471562635911511,8.441317716192605e-06,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
GreedyWalk,4site_GB1,30,1.9833333333333334,0.08975274678557507,2.0,0.0,4.0,0.0,0.24698163176478388,0.08928199625541745,0.05171788630592487,0.03950658087153476,0.8292877473130436,0.14306221841822167,0.0,0.0,0.0,0.0,0.0,0.0,0.1707122526869565,0.14306221841822167,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,7.2661907606580005,1.2535062444101408,8.761965655710004,3.552713678800501e-15
Random,4site_GB1,30,3.0,0.0,2.0,0.0,4.0,0.0,0.002585848419860538,0.0005001843757357139,0.0009466930684221773,9.267594317486922e-05,0.49655479823286064,0.12118141411477629,0.0,0.0,0.0,0.0,0.0,0.0,0.5034452017671394,0.12118141411477629,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,4.350796088294333,1.061787388584041,8.761965655710004,3.552713678800501e-15
