method,dataset,n_runs,high_fitness_proximity_mean,high_fitness_proximity_std,novelty_mean,novelty_std,batch_diversity_mean,batch_diversity_std,normalized_fitness_median_top128_mean,normalized_fitness_median_top128_std,normalized_fitness_median_top256_mean,normalized_fitness_median_top256_std,max_fitness_mean,max_fitness_std,spearman_correlation_mean,spearman_correlation_std,epistatic_correlation_mean,epistatic_correlation_std,recall_high_order_mean,recall_high_order_std,simple_regret_mean,simple_regret_std,miscalibration_area_mean,miscalibration_area_std,expected_calibration_error_mean,expected_calibration_error_std,auoc_mean,auoc_std,hit_rate_mean,hit_rate_std,_seed_mean,_seed_std,n_sequences_mean,n_sequences_std,round_mean,round_std,global_max_hit_count_mean,global_max_hit_count_std
ALDE,GB1,30,1.3,0.45825756949558394,2.0,0.0,3.4,0.48989794855663565,0.5044725067870429,0.0634658858908327,0.40914145944532465,0.061667081728270526,0.8966153060121839,0.13554872359843625,0.0,0.0,0.0,0.0,0.0,0.0,0.10338469398781618,0.13554872359843628,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,
AiCE,GB1,30,2.0,0.0,2.033333333333333,0.17950549357115012,3.0,0.0,0.37016764558825643,0.00067543445456414,0.24167892260697763,0.0019199095244830152,0.8311300290585196,3.3306690738754696e-16,0.5517605276460489,1.1102230246251565e-16,0.0,0.0,0.12966666666666665,0.0017950549357115034,0.16886997094148076,5.551115123125783e-17,1.0134334798757143,1.2763397101716969e-05,0.431264869257998,6.835176824657586e-06,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,
EvoPlay,GB1,30,1.6666666666666667,0.4714045207910316,1.6666666666666667,0.4714045207910316,4.0,0.0,0.24564995942692627,0.07172472878581922,0.04836944000066798,0.029045782732678733,0.7958082763862392,0.13152405777703077,0.42133436351511033,0.031707775291236424,0.4208975622202408,0.03167841178723614,0.13899999999999996,0.07828793010419932,0.2041917236137607,0.13152405777703077,0.9277457260231045,0.003912876301992164,0.4521036021220278,0.0002870842927478663,,,,,455.5,273.7225785352754,384.0,0.0,,,,
FLEXS,GB1,30,2.3333333333333335,0.4714045207910318,1.9666666666666666,0.31446603773522014,3.933333333333333,0.3590109871423002,0.0005031240038413826,0.00018588918151829644,0.0,0.0,0.5305272535521397,0.10703246716347802,0.0487236993381803,0.1099811285180493,0.0,0.0,0.20833333333333334,0.1321636191325821,0.4694727464478603,0.10703246716347802,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,
GreedyWalk,GB1,30,1.9833333333333334,0.08975274678557507,2.0,0.0,4.0,0.0,0.24698163176478388,0.08928199625541744,0.05171788630592488,0.03950658087153476,7.2661907606580005,1.2535062444101408,0.0,0.0,0.0,0.0,0.0,0.0,1.4957748950520002,1.2535062444101408,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,
Random,GB1,30,3.0,0.0,2.0,0.0,4.0,0.0,0.002585848419860538,0.0005001843757357139,0.0009466930684221773,9.267594317486922e-05,4.350796088294333,1.061787388584041,0.0,0.0,0.0,0.0,0.0,0.0,4.411169567415667,1.0617873885840408,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,
alphavariant,GB1,30,1.7333333333333334,0.44221663871405326,2.0,0.0,3.7333333333333334,0.44221663871405326,0.3524612945712829,0.10147797503836793,0.1777974064561693,0.0951444569251044,0.8482024212306476,0.14358537678625166,0.6497352054953045,0.1369481950195996,0.0,0.0,0.5466666666666666,0.13097921802925666,0.15179757876935251,0.14358537678625163,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,
delta_cs,GB1,30,0.8666666666666667,0.49888765156985887,1.7,0.5859465277082315,0.6666666666666666,0.649786289653931,0.6237473231953153,0.1421933469213085,0.5824682261498748,0.15505860852399755,6.136367021383533,1.0996562220024515,0.7256948111061963,0.15377248872521518,-0.32798849432245214,0.29344722648766847,0.014524765729585004,0.007260968982062906,2.6255986343264666,1.0996562220024513,0.0,0.0,179.07116912762302,118.70722709403532,,,,,455.5,273.7225785352754,,,5.0,0.0,0.0,0.0
