method,seed,status,wall_seconds,exit_code,gpu_id
delta_cs,100,OK,2552.4,0,1
delta_cs,167,OK,2555.1,0,1
delta_cs,492,OK,2555.8,0,1
delta_cs,621,OK,2559.3,0,0
delta_cs,987,OK,2561.4,0,0
delta_cs,383,OK,2567.3,0,0
delta_cs,446,OK,2553.8,0,1
delta_cs,926,OK,2557.7,0,0
delta_cs,390,OK,2558.9,0,0
delta_cs,137,OK,2556.2,0,0
delta_cs,477,OK,2559.1,0,1
delta_cs,531,OK,2568.0,0,1
delta_cs,919,OK,2544.5,0,0
delta_cs,3,OK,2562.9,0,1
delta_cs,77,OK,2557.8,0,1
delta_cs,303,OK,2557.8,0,0
delta_cs,194,OK,2562.2,0,0
delta_cs,331,OK,2549.5,0,1
delta_cs,76,OK,2545.9,0,0
delta_cs,652,OK,2558.7,0,0
delta_cs,527,OK,2559.0,0,0
delta_cs,433,OK,2568.5,0,1
delta_cs,772,OK,2574.2,0,1
delta_cs,563,OK,2566.1,0,1
delta_cs,340,OK,2540.9,0,0
delta_cs,171,OK,2527.0,0,0
delta_cs,548,OK,2519.5,0,0
delta_cs,590,OK,2552.0,0,1
delta_cs,998,OK,2565.2,0,1
delta_cs,511,OK,2553.1,0,1
alphavariant,167,OK,994.1,0,1
alphavariant,621,OK,1090.3,0,0
alphavariant,987,OK,1130.0,0,0
alphavariant,100,OK,1135.1,0,1
alphavariant,383,OK,1156.9,0,0
alphavariant,492,OK,1181.0,0,1
alphavariant,926,OK,1024.7,0,0
alphavariant,446,OK,956.4,0,1
alphavariant,477,OK,935.0,0,1
alphavariant,531,OK,981.6,0,1
alphavariant,137,OK,1009.7,0,0
alphavariant,390,OK,1125.0,0,0
alphavariant,194,OK,942.6,0,0
alphavariant,77,OK,957.2,0,1
alphavariant,919,OK,1140.1,0,0
alphavariant,3,OK,1173.8,0,1
alphavariant,303,OK,1101.6,0,0
alphavariant,331,OK,1131.4,0,1
alphavariant,76,OK,1022.4,0,0
alphavariant,772,OK,913.3,0,1
alphavariant,652,OK,1035.1,0,0
alphavariant,433,OK,1084.9,0,1
alphavariant,527,OK,1027.2,0,0
alphavariant,563,OK,966.3,0,1
alphavariant,340,OK,1081.0,0,0
alphavariant,998,OK,1007.4,0,1
alphavariant,511,OK,904.4,0,1
alphavariant,548,OK,965.5,0,0
alphavariant,171,OK,1069.9,0,0
alphavariant,590,OK,1063.3,0,1
