method,dataset,n_runs,high_fitness_proximity_mean,high_fitness_proximity_std,novelty_mean,novelty_std,batch_diversity_mean,batch_diversity_std,normalized_fitness_median_top128_mean,normalized_fitness_median_top128_std,normalized_fitness_median_top256_mean,normalized_fitness_median_top256_std,max_fitness_mean,max_fitness_std,spearman_correlation_mean,spearman_correlation_std,epistatic_correlation_mean,epistatic_correlation_std,recall_high_order_mean,recall_high_order_std,simple_regret_mean,simple_regret_std,miscalibration_area_mean,miscalibration_area_std,expected_calibration_error_mean,expected_calibration_error_std,auoc_mean,auoc_std,hit_rate_mean,hit_rate_std,_seed_mean,_seed_std,max_fitness_raw_mean,max_fitness_raw_std,global_max_raw_mean,global_max_raw_std
ALDE,CreiLOV,30,0.0,0.0,3.533333333333333,0.8055363982396382,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
AiCE,CreiLOV,30,3.0,0.0,3.566666666666667,0.4955356249106169,5.0,0.0,0.8247597108442349,0.0014862345787669629,0.7686233029322058,0.0007118040968372538,1.0,0.0,0.1133610595286503,0.0,0.10460892067304745,7.110014116845877e-05,0.0,0.0,0.0,0.0,0.14782518928839894,1.4422227588436502e-05,0.2709729167174834,1.6555262780658212e-05,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
CLADE,CreiLOV,30,1.8166666666666667,0.3760171390892826,3.466666666666667,0.4988876515698589,6.0,0.0,0.906783426965662,0.0030392391382609175,0.8829177847547852,0.0051583908458730674,0.9843659326365438,0.0052671066647832,0.0,0.0,0.0,0.0,0.0,0.0,0.015634067363456038,0.0052671066647832,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,15441.064117135922,82.62144089533466,15686.304864064417,5.4569682106375694e-12
FLEXS,CreiLOV,30,6.333333333333333,0.6497862896539309,4.0,1.505545305418162,10.666666666666666,0.5374838498865699,0.3910116101783104,0.007150302394837619,0.0,0.0,0.6973818441381677,0.09479608668142123,0.3145814721387511,0.1189463476028747,0.0,0.0,0.0,0.0,0.3026181471959556,0.09479608668142123,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
GreedyWalk,CreiLOV,30,4.0,0.0,3.1333333333333333,0.33993463423951903,8.0,0.0,0.7390052278675782,0.03126161965641486,0.6084671251543035,0.026799432809306134,0.9519314631659049,0.025188956646961174,0.0,0.0,0.0,0.0,0.0,0.0,0.04806853683409504,0.025188956646961174,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,14932.287140915289,395.1216531719347,15686.304864064417,5.4569682106375694e-12
Random,CreiLOV,30,4.033333333333333,0.17950549357115012,3.8333333333333335,0.3496029493900505,8.0,0.0,0.645397325581725,0.013303239613060973,0.5469686262015127,0.013802822516452108,0.9003531682333826,0.025948351597889076,0.0,0.0,0.0,0.0,0.0,0.0,0.09964683176661758,0.025948351597889076,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,14123.214282235109,407.03375388442095,15686.304864064417,5.4569682106375694e-12
ftMLDE,CreiLOV,30,1.0333333333333334,0.17950549357115012,3.433333333333333,0.4955356249106169,5.033333333333333,0.1795054935711501,0.909083571206222,0.002602414339004295,0.8888465192647915,0.004251746652988438,0.982667691471408,0.0008480768537133624,0.0,0.0,0.0,0.0,0.0,0.0,0.017332308528591762,0.0008480768537133626,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,15414.424988486899,13.303192075504603,15686.304864064417,5.4569682106375694e-12
