method,dataset,n_runs,high_fitness_proximity_mean,high_fitness_proximity_std,novelty_mean,novelty_std,batch_diversity_mean,batch_diversity_std,normalized_fitness_median_top128_mean,normalized_fitness_median_top128_std,normalized_fitness_median_top256_mean,normalized_fitness_median_top256_std,max_fitness_mean,max_fitness_std,spearman_correlation_mean,spearman_correlation_std,epistatic_correlation_mean,epistatic_correlation_std,recall_high_order_mean,recall_high_order_std,simple_regret_mean,simple_regret_std,miscalibration_area_mean,miscalibration_area_std,expected_calibration_error_mean,expected_calibration_error_std,auoc_mean,auoc_std,hit_rate_mean,hit_rate_std,_seed_mean,_seed_std,max_fitness_raw_mean,max_fitness_raw_std,global_max_raw_mean,global_max_raw_std,round_mean,round_std,simple_regret_raw_mean,simple_regret_raw_std
ALDE,TRPB,30,1.4,0.48989794855663565,2.0,0.0,3.3666666666666667,0.4818944098266986,0.6095189787,0.05245716659129034,0.5196134939,0.05930831510684054,0.9004256046666665,0.1067681095705387,0.0,0.0,0.0,0.0,0.0,0.0,0.09957439533333332,0.10676810957053874,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,
AiCE,TRPB,30,2.033333333333333,0.1795054935711501,2.0,0.0,3.0,0.0,0.09142685131666667,0.023001379454498174,0.03615747319999999,0.004734833441717138,0.7010715459666665,0.09445198102627989,0.09168737953661678,0.03178928213969308,0.08978728646812756,0.03202035792428268,0.002,0.0054160256030906405,0.29892845403333335,0.0944519810262799,0.20589792530942796,0.04574380732778153,0.22692716738068172,0.010696354899147208,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,
CLADE,TRPB,30,1.65,0.5024937810560446,2.0,0.0,3.3,0.45825756949558405,0.5290221067833333,0.08442395417222807,0.3736708820666667,0.12309526409193818,0.8537844957999999,0.1252965265567739,0.0,0.0,0.0,0.0,0.0,0.0,0.1462155042,0.12529652655677387,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,0.8537844957999999,0.1252965265567739,1.0,0.0,,,,
FLEXS,TRPB,30,1.4333333333333333,0.4955356249106168,2.0,0.0,3.066666666666667,0.24944382578492943,0.5515131752,0.03813843597750225,0.4080276650333333,0.05383119087992478,0.8531103861666665,0.11443638991705386,0.9356366353621,0.013256246336383476,0.0,0.0,0.0,0.0,0.14688961383333332,0.11443638991705388,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,
GreedyWalk,TRPB,30,2.3333333333333335,0.4714045207910318,2.0,0.0,4.0,0.0,0.30508782906666665,0.0924956825427241,0.07180602574999999,0.03802118762699177,0.7943801375,0.12929996220572054,0.0,0.0,0.0,0.0,0.0,0.0,0.2056198625,0.12929996220572054,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,0.7943801375,0.12929996220572054,1.0,0.0,,,,
Random,TRPB,30,3.0,0.0,2.0,0.0,4.0,0.0,0.036009163266666665,0.002265133477740528,0.022734015933333334,0.0010051357571235567,0.6044277751666666,0.1026411625374315,0.0,0.0,0.0,0.0,0.0,0.0,0.3955722248333334,0.10264116253743148,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,0.6044277751666666,0.1026411625374315,1.0,0.0,,,,
alphavariant,TRPB,30,1.65,0.46815239683960475,2.0,0.0,3.6666666666666665,0.4714045207910318,0.5785494232999999,0.054852976489054524,0.45950850340000005,0.07937120152362448,0.8523935362999998,0.10568739320612533,0.7761221971919683,0.05222178608473133,0.0,0.0,0.0,0.0,0.14760646369999997,0.10568739320612534,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,
delta_cs,TRPB,30,1.8666666666666667,0.8055363982396381,2.308854166666667,0.347697114483481,1.1579532163742692,0.7920094994288003,0.4421709162359057,0.2400377154513168,0.4042605198230151,0.24027514211950698,0.5631535001099109,0.2458018371501819,0.5132197505942576,0.3741136847674766,-0.20185798240708053,0.22324391928754853,0.005234505862646566,0.003947247820526962,0.43684649989008906,0.2458018371501819,0.0,0.0,0.26831319460100583,0.13865722257540553,,,,,455.5,273.7225785352754,0.5631535001099109,0.2458018371501819,1.0,0.0,5.0,0.0,0.43684649989008906,0.2458018371501819
ftMLDE,TRPB,30,1.3666666666666667,0.4818944098266986,2.0166666666666666,0.08975274678557506,3.033333333333333,0.17950549357115014,0.5835173020833333,0.06172824693650633,0.47113859524999996,0.07036573648673872,0.8648382352,0.1245631504099264,0.0,0.0,0.0,0.0,0.0,0.0,0.13516176479999997,0.1245631504099264,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,0.8648382352,0.1245631504099264,1.0,0.0,,,,
