method,dataset,n_runs,high_fitness_proximity_mean,high_fitness_proximity_std,novelty_mean,novelty_std,batch_diversity_mean,batch_diversity_std,normalized_fitness_median_top128_mean,normalized_fitness_median_top128_std,normalized_fitness_median_top256_mean,normalized_fitness_median_top256_std,max_fitness_mean,max_fitness_std,spearman_correlation_mean,spearman_correlation_std,epistatic_correlation_mean,epistatic_correlation_std,recall_high_order_mean,recall_high_order_std,simple_regret_mean,simple_regret_std,miscalibration_area_mean,miscalibration_area_std,expected_calibration_error_mean,expected_calibration_error_std,auoc_mean,auoc_std,hit_rate_mean,hit_rate_std,_seed_mean,_seed_std,max_fitness_raw_mean,max_fitness_raw_std,global_max_raw_mean,global_max_raw_std
ALDE,PAB1,30,4.0,0.0,2.3333333333333335,0.7453559924999299,0.0,0.0,0.0920967484186819,0.03322710691033314,0.021636176960927105,6.938893903907228e-18,0.5491729555162912,0.07512518082170438,0.0,0.0,0.0,0.0,0.0,0.0,0.45082704448370875,0.07512518082170437,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
AiCE,PAB1,30,4.0,0.0,2.1666666666666665,0.3726779962499649,4.0,0.0,0.14767286810935285,0.014753551202367142,0.05512293139461251,0.0017229715040135481,0.5351188925979173,0.06216366720477274,-0.5115016919538872,0.0,-0.46728189031579404,0.00020065600867786874,0.0,0.0,0.46488110740208277,0.06216366720477273,0.43730200501968197,5.649196254334559e-05,0.48382779393041064,1.6922629103163255e-05,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
CLADE,PAB1,30,2.1333333333333333,0.33993463423951903,2.0,0.0,4.0,0.0,0.43625795853176597,0.010567094743872416,0.39740370816055914,0.008802559839577478,0.7559460124335696,0.10465962839961394,0.0,0.0,0.0,0.0,0.0,0.0,0.2440539875664306,0.10465962839961394,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,1.9865829297,0.27503952370631685,2.627942864999999,8.881784197001252e-16
FLEXS,PAB1,30,3.2666666666666666,0.5734883511361752,2.6,0.5537749241945383,4.333333333333333,0.5962847939999438,0.19314273688797262,0.007285883926704123,0.0,0.0,0.4490407148673846,0.050584051586851246,0.460300817397856,0.007880130437563991,0.0,0.0,0.0,0.0,0.5509755966360973,0.050584051586851225,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,
GreedyWalk,PAB1,30,3.0,0.0,2.0,0.0,4.0,0.0,0.3787350220742163,0.00673916564074727,0.32361147371365495,0.006378400950356272,0.6568611264436044,0.07975729733485626,0.0,0.0,0.0,0.0,0.0,0.0,0.3431388735563955,0.07975729733485624,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,1.7261935105333335,0.209597620462819,2.627942864999999,8.881784197001252e-16
Random,PAB1,30,3.0,0.0,2.0,0.0,4.0,0.0,0.37208278542311735,0.006474659397804673,0.3187870907349977,0.005980182487342132,0.657089723917317,0.0881926982982164,0.0,0.0,0.0,0.0,0.0,0.0,0.34291027608268293,0.0881926982982164,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,1.7267942516333332,0.23176537223789542,2.627942864999999,8.881784197001252e-16
ftMLDE,PAB1,30,2.066666666666667,0.24944382578492943,2.0,0.0,4.0,0.0,0.45383529914113535,0.019050509406505087,0.4090323808873478,0.014678455586669284,0.7720808243168052,0.0704918152543586,0.0,0.0,0.0,0.0,0.0,0.0,0.22791917568319484,0.0704918152543586,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,2.0289842934666664,0.18524846293858982,2.627942864999999,8.881784197001252e-16
